review_title,review_date,reviewer_country,room_type,party_size,nr_nights,date_stay,review_score,review_great,review_poor,hotel_response_bool
N/A,09-2023,Netherlands,Standard Queen Room,Couple,1,09-2023,9.0,"Mooi hotel, grote stille kamer, lekker ontbijt, gezellige sfeer. We hebben een heel fijn verblijf gehad en zouden het hotel zonder twijfel weer boeken als we in Groningen zijn.","Ik had van te voren per telefoon gevraagd of we twee gereserveerde fietsen iets eerder dan de check-in al mochten ophalen. Dat was prima, maar bij aankomst bleek het toch wel problematisch. Veel fietsen waren stuk of onverwachts weg. Een shout-out naar de jongen van de receptie die desondanks tóch twee fietsen had weten te vinden!",True
N/A,09-2023,Netherlands,Standard Queen Room,Group,1,09-2023,7.0,ontbijt,"kamer was klein en gedateerd.
Veel te duur",True
N/A,09-2023,France,Deluxe King Room,Couple,3,09-2023,7.0,N/A,"Flure sehr düster, Essen kann ich nicht beurteilen. Eher ein Hotel für Jugend.",True
N/A,08-2023,Germany,Standard Queen Room,Group,3,08-2023,9.0,"Frühstück war sehr gut, das Personal sehr nett und zuvorkommend. Außerdem finde ich das Konzept von ""the social hub"" außergewöhnlich gut.",N/A,True
N/A,08-2023,Switzerland,Standard Queen Room,Couple,2,08-2023,8.0,N/A,Der Frühstückraum ist etwas klein und man kann ab dem 2. Tag etwas besser klarkommen.,True
N/A,08-2023,Netherlands,Standard Queen Room,Couple,1,08-2023,9.0,"Prachtig uitzicht, lekker bed, rust",Jammer dat je geen raam open kunt zetten. Daarentegen wel prachtig panorama uitzicht.,True
N/A,07-2023,Germany,Standard Queen Room,Couple,1,07-2023,9.0,"Sehr freundliches Personal
Kleines Geschenk zur Begrüßung und zur Abreise gab es für jeden einen Müsliriegel, wir hatten ohne Frühstück gebucht und fanden das sehr nett.",N/A,True
N/A,08-2023,Netherlands,Standard Queen Room,Couple,1,08-2023,9.0,"Zeer vriendelijke  personeel dat alle tijd voor je heeft.
Mooie moderne faciliteiten. 
Lekker ontbijtbuffet.
Prima kamer.
En alles vlak bij centrum Groningen. Onder hotel is parkeergarage, handig.",Niets,True
N/A,07-2023,Netherlands,Standard Queen Room,Couple,1,07-2023,9.0,Ligging,Kleine kamer,True
N/A,09-2023,Netherlands,Standard Queen Room,Solo traveller,1,09-2023,8.0,"Vriendelijk personeel,  goed ontbijt, prima bed/kamer, goede locatie",Bleek incheckdag te zijn van nieuwe studenten. Meer dan een uur in de rij gestaan voor het inchecken.  (Personeel was aardig en heb een gratis ontbijt gekregen). Kussens vond ik persoonlijk wat te hard,True
N/A,09-2023,Spain,Standard Queen Room,Couple,3,09-2023,8.0,N/A,No había secador de pelo,True
N/A,08-2023,Germany,Standard Queen Room,Couple,4,08-2023,8.0,"Haken im Bad. Sehr freundliches Personal.
Bei zu früher Anreise wurden die Koffer in separatem Raum deponiert.
Ausreichendes Angebot an Speisen am Abend.
Leihräder vom Hotel waren vorhanden.","Nachttisch und Steckdosen nur auf einer Seite vom Bett.
Beim Duschen wurde immer das ganze Bad nass, war nicht zu verhindern.
Langes Anstehen beim Einchecken.
Safe im Zimmer.",True
N/A,08-2023,Netherlands,Standard Queen Room,Couple,1,08-2023,8.0,"Leuk concept, wel erg groot. Voornamelijk internationale studenten en dat maakt het levendig.","Het hotel is niet erg gezellig, omdat het zo groot is. De TV is hard aan vernieuwing toe. 
De badkamer is erg klein.",True
N/A,08-2023,Netherlands,Standard Queen Room,Couple,1,08-2023,9.0,"Vriendelijk personeel, mooie nette kamer, goed ontbijt, op loopafstand van centrum.",Geen opmerkingen,True
N/A,08-2023,Germany,Deluxe King Room,Family,2,08-2023,8.0,"Das Zimmer hatte eine angenehme Größe, das Bett war sehr bequem, die Beleuchtung gut zu regulieren, es gab genug Steckdosen für Ladegeräte 
Auch Kaffeemaschine und Wasserkocher + diverse Kaffee- und Teesorten waren vorhanden.",Es gab nur Gläser zum Trinken; Tassen mit Henkel wären für heiße Getränke doch angenehmer.,True
N/A,08-2023,Netherlands,Standard Queen Room,Group,1,08-2023,8.0,Personeel. Vrienden wilden niet op hoge verdieping en men heeft een kamer op de tweede verdieping aangeboden.,N/A,True
N/A,08-2023,Sweden,Deluxe King Room,Couple,1,08-2023,8.0,Personalen var supertrevlig,"Halv fulla och tomma schampo förpackningar. Endast schampo, inget annat i duschen.",True
N/A,08-2023,Netherlands,Standard Queen Room,Solo traveller,3,08-2023,9.0,"Mooi hotel met heel vriendelijk personeel.
Het hotel is ook een prima werkgever.",Niets,True
N/A,08-2023,Germany,Standard Queen Room,Family,3,08-2023,8.0,"Freundliches, hilfsbereites Personal; sehr gutes Frühstück; gute, zentrale und trotzdem relativ ruhige Lage; nahgelegener Parkplatz.",N/A,True
N/A,08-2023,Germany,Standard Queen Room,Family,1,08-2023,9.0,"Tolle Lage, Schönes Hotel,tolles Personal. Essen super,ob Abends oder das Frühstück .",Fällt mir nichts ein.,True
N/A,07-2023,Netherlands,Standard Queen Room,Couple,4,07-2023,8.0,De werkplekken beneden,"De instructie voor de airco was niet duidelijk, plus voor de prijs die we betaald hebben was de kamer aan de kleine kant.",True
N/A,08-2023,Netherlands,Standard Queen Room,Family,2,08-2023,8.0,De ligging en het vriendelijke personeel,"Het bed en met name het beddengoed. De hoeslakens waren te klein en zaten niet goed om het matras, waardoor ik 's ochtends op de lakenloze matras wakker werd. Ook was er maar aan 1 kant een nachtkastje.
De televisie reageerde niet goed op de afstandsbediening.",True
N/A,08-2023,Netherlands,Standard Queen Room,Family,2,08-2023,9.0,Het ontbijt was ruim voldoende. Een ontspannen sfeer.,Eigenlijk heb ik geen aanmerkingen.,True
N/A,08-2023,Netherlands,Deluxe King Room,Couple,1,08-2023,8.0,Ligging,"Er ontbrak een topper op het bed, al mijn ledematen deden pijn.",True
N/A,08-2023,Netherlands,Deluxe King Room,Couple,1,08-2023,8.0,Echt midden in het centrum met goede parkeergelegenheid.,N/A,True
N/A,08-2023,Germany,Standard Queen Room,Family,1,08-2023,9.0,Tolle Lage in City-Nähe.,"Kein Abstellplatz für mein Fahrrad.
Musste über Nacht auf der anderen Straßenseite abgestellt werden. Konnte man allerdings an einem Poller sichern.",True
N/A,08-2023,Netherlands,Standard Queen Room,Solo traveller,1,08-2023,8.0,"Mooie ruime entree, goeie locatie",Wc was niet goed schoon,True
N/A,08-2023,Netherlands,Standard Queen Room,Group,2,08-2023,7.0,Locatie,Erg kleine kamer,True
N/A,08-2023,Netherlands,Deluxe King Room,Group,2,08-2023,8.0,"Concept, faciliteiten en ligging.",Prijzig.,True
N/A,08-2023,Germany,Standard Queen Room,Couple,7,08-2023,7.0,"Freundliches Personal, sauberes und mordernes Zimmer, guter Aufenthaltsbereich, Fahrräder in gutem Zustand (aber nicht für Touren geeigent)","Mitunter lange Wartezeiten an der Rezeption, Kleinigkeiten bei der Reinigung (z.B. keine Handseife vorhanden, kein Toilettenpapier nachgelegt) und am Zimmer (kein Duschvorhang, kein zweiter Nachttisch)",True
N/A,08-2023,Netherlands,Deluxe King Room,Family,3,08-2023,9.0,Prima voor een kort verblijf.,Niets aan te merken.,True
N/A,08-2023,Netherlands,Standard Queen Room,Family,2,08-2023,8.0,Vriendelijk personeel.,Toilet had schoner gemogen.,True
N/A,08-2023,Netherlands,Deluxe King Room,Group,1,08-2023,8.0,"Aardige mensen, goede lokatie dicht bij het centrum.",Badkamervloer werd volledig nat bij douchen.,True
N/A,08-2023,Belgium,Deluxe King Room,Couple,1,08-2023,8.0,"Hôtel au concept et au design super. 
On a pris une chambre deluxe qui avait une très belle vue et était d’un calme olympien. 
Bravo aux concepteurs de cette chaîne hollandaise! On reviendra !",Rien,True
N/A,08-2023,China,Deluxe King Room,Group,1,08-2023,8.0,"Uitgebreid, vers,  divers, mooie en sfeervolle locatie/ruimte",Leidinggevende die nogal erg hard praatte en bepaalde gasten terecht wees of negatief aansprak op een bepaalde (wellicht) terechte situatie. Maar iedereen kon meegenieten. Vond dat wat storend eerlijk gezegd.,True
N/A,08-2023,Italy,Standard Queen Room,Family,2,08-2023,8.0,Gli spazi comuni condivisi e la posizione,Migliorabile la pulizia della camera e del bagno,True
N/A,08-2023,Germany,Standard Queen Room,Couple,1,08-2023,8.0,"Die zentrale Lage 
Sehr gute Parkmöglichkeiten in der Tiefgarage 
Freundliches Personal",-,True
N/A,08-2023,Germany,Standard Queen Room,Couple,1,08-2023,8.0,"Sauber, geräumig, gute Lage",Sehr harte Betten und unbequemes Kopfkissen,True
N/A,08-2023,Netherlands,Standard Queen Room,Couple,1,08-2023,9.0,"Super fijne kamer. Met prachtig uitzicht opde martini kerk en het forum.Wij zaten op de 9e verdieping dus konden heel ver kijken. 
Het bed lag super lekker en de badkamer was ook heel erg mooi een schoon. Het enige wat miste was een föhn. 
Ook het ontbijt was top. Heel uitgebreid. 
Personeel is zeer vriendelijk en toont ook echt interesse.","Föhn miste dus. En soms moest je erg lang wachten op de lift. Omdat er aan beide kanten maar een lift is. En je alleen met de lift kunt die grenst aan de kamer waar je in zit. Dus daardoor kun je alleen gebruik maken van die ene lift. Dus duurde het wat langer, maar verder gewoon top.",True
N/A,08-2023,Netherlands,Standard Queen Room,Couple,1,08-2023,8.0,Ligging,Geen tegenvaller,True
N/A,08-2023,Netherlands,Standard Queen Room,Couple,1,08-2023,7.0,"Vriendelijk personeel, goed ontbijt. Lekker informele sfeer.","Het bed was vrij hard. Temp. van de kamer was zodanig dat onder het dekbed slapen te warm was, er bovenop te koud.
Dit viel met de thermostaat niet voldoende te corrigeren.",True
N/A,08-2023,Germany,Deluxe King Room,Couple,1,08-2023,7.0,Top Lage,Bunker Atmosphäre,True
N/A,08-2023,Germany,Standard Queen Room,Couple,4,08-2023,8.0,"Ausgefallenes Hotel, Frühstück war zufriedenstellend. Die Zimmer waren einfach gehalten.",Keinen Tresor und kein Kühlschrank im Zimmer,True
N/A,08-2023,Germany,Deluxe King Room,Couple,3,08-2023,7.0,N/A,Die Matratzen!!,True
N/A,08-2023,Germany,Deluxe King Room,Solo traveller,3,08-2023,7.0,"tolle Lage, super Tiefgarage, nettes Personal, die Innenstadt ist in wenigen Minuten zu Fuß zu erreichen, der Stadtstrand ganz in der Nähe ist auch toll",zu wenig Personal beim Check-in und beim Frühstück. Auf dem Flur lag während meines gesamten Aufenthaltes eine Matratze und ein Bettgestell,True
N/A,08-2023,Germany,Deluxe King Room,Couple,4,08-2023,7.0,"Zentral gelegen… Hipp, umfangreiches Frühstück, sehr freundliches Personal.",Zimmer waren immer sauber… den allgemein zugänglichen Bereichen könnte etwas mehr Aufmerksamkeit geschenkt werden.,True
N/A,08-2023,Germany,Deluxe King Room,Couple,3,08-2023,8.0,Großes Zimmer mit schöner Ausstattung ￼und großer Aufenthaltsbereich,Hier und da könnte der Staubsauger mehr gebraucht werden ￼,True
N/A,08-2023,France,Standard Queen Room,Couple,1,08-2023,8.0,"hotel moderne original très près du centre avec parking souterrain attenant
chambre confortable et personnel très prévenant",N/A,True
N/A,07-2023,Netherlands,Standard Queen Room,Family,1,07-2023,9.0,"Op de vraag wat beviel je het meest kan ik gewoon niet antwoorden. Ik kan geen keuze maken. Het personeel was enorm vrolijk, behulpzaam en aardig. Het ontbijt was mega uitgebreid en lekker en de locatie verrassend leuk en fijn (en dat voor een wel heel vriendelijke prijs)",Niets viel tegen.,True
N/A,08-2023,Germany,Deluxe King Room,Family,1,08-2023,9.0,"Alle sind dort sehr freundlich und hilfsbereit, das Frühstück war sehr gut, die Lage einfach perfekt. 
Die Betten sehr gut.",N/A,True
N/A,08-2023,Germany,Deluxe King Room,Couple,2,08-2023,8.0,"Sehr freundliches Personal. Beim Frühstück war für jeden etwas dabei und alles war sehr gut. Die Betten waren top. Die Lage des Hotels ist 👍. Parkhaus ist übrigens gleich daneben und 13,50€ pro Tag geht auch.",N/A,True
N/A,08-2023,Netherlands,Standard Queen Room,Couple,1,08-2023,9.0,"Het enorm vriendelijke en open personeel, ook had het hotel een aangename uitstraling.",Ik heb niets wat mij tegen viel.,True
N/A,08-2023,Italy,Standard Queen Room,Family,1,08-2023,8.0,La vista sulla città al nono piano è impareggiabile. Struttura pulita. Camera e bagno puliti. Letto comodissimo cuscino un po' meno. Doccia ok asciugamani perfetti.,Nulla.,True
N/A,08-2023,Germany,Standard Queen Room,Couple,1,08-2023,8.0,"Die Zimmer sind einfach aber ausreichend ausgestattet. Das Frühstück ist sehr gut, frisch und schmackhaft. Die Lage ist perfekt, wenn man zu Fuß unterwegs ist in die Innenstadt.",Wir fanden alles OK! Nichts zu beanstanden!!!,True
N/A,08-2023,Germany,Deluxe King Room,Couple,1,08-2023,8.0,"Tolle Lage, sehr gute Ausstattung, Tiefgarage direkt neben dem Hotel.",N/A,True
N/A,08-2023,Netherlands,Deluxe King Room,Couple,1,08-2023,9.0,geen ontbijt,nvt,True
N/A,08-2023,Germany,Standard Queen Room,Couple,2,08-2023,7.0,"Zimmer, Lage","Frühstück, Warteschlange vor dem Kaffeeautomat , gebührenpflichtiger Parkplatz",True
N/A,08-2023,Netherlands,Deluxe King Room,Family,1,08-2023,8.0,Relaxte werkplek erbij. Goed bed. Vriendelijk personeel.,Receptie was een paar keer niet bemand waardoor je moest wachten en niet wist of er iemand zou komen.,True
N/A,08-2023,Netherlands,Standard Queen Room,Couple,1,08-2023,7.0,Rustige nacht ondanks vele gasten en feest stad Groningen.,Op weg naar het ontbijt is mijn vrouw gevallen over een volstrekt onvoldoende gemarkeerde verlaging van de vloer. Personeel keek slechts toe hoe ze gestrekt op de vloer lag en hoe ik als 77 jarige mijn vrouw weer overeind hielp. Een andere gast vertelde dat hij de dag ervoor op dezelfde plek volledig onderuit was gegaan. Op geen enkele wijze heeft er enige genoegdoening plaats gevonden. Mijn vrouw is nog steeds bont en blauw en heeft een pijnlijke arm. Ik vind de gang van zaken onacceptabel en had dit niet verwacht in een SOCIAL Hub. ASOCIAL Hub doet de service meer eer aan.,True
N/A,08-2023,Netherlands,Deluxe King Room,Family,2,08-2023,9.0,De ongedwongen sfeer en de vriendelijkheid van het personeel.,"Je moet zelf uitvinden hoe de lichtknoppen werken, bijvoorbeeld om voor de nacht uit te doen.
Daarnaast moet je ver reiken, om in de nacht het drukknopje van het bedlampje te vinden.
Het was soms heel druk bij de liften. 
We zagen dat sommigen bij het ontbijt geen stoel meer konden bemachtigen.",True
N/A,08-2023,Netherlands,Standard Queen Room,Family,1,08-2023,9.0,De ligging t.o.v. het centrum.,Nvt,True
N/A,08-2023,Netherlands,Standard Queen Room,Family,1,08-2023,7.0,"Airco, douche, bed",Er zijn geen Stopcontacten bij het bed.,True
N/A,08-2023,Netherlands,Standard Queen Room,Group,1,08-2023,8.0,"Gezellig jeugdig modern hotel!
Lekker ontbijt! Goede bedden!
Centraal gelegen!",De douche ruimte had best wat ruimer gemogen!,True
N/A,08-2023,Italy,Standard Queen Room,Family,6,08-2023,7.0,"Posizione 
Parcheggio bici
Ambiente informale","Colazione troppo costosa. 
Cuscini scomodi. 
Pulizia camera scarsa",True
N/A,08-2023,Netherlands,Standard Queen Room,Family,1,08-2023,8.0,Heel dicht bij het centrum en toch rustig. Betaalbare parkeergarage vlakbij. Prima bedden en een goede airco.,De badkamer is vrij klein. Er is maar aan een kant van het bed een nachtkastje en leeslampje.,True
N/A,07-2023,Netherlands,Standard Queen Room,Couple,1,07-2023,8.0,"ligging en goed ontbijt
Helaas regende het 2 dagen dus fietsen was onmogelijk",N/A,True
N/A,07-2023,Belgium,Deluxe King Room,Family,2,07-2023,9.0,leuke vibe goed ontbijt heel vriendelijk personeel heel mooie kamer voor de prijs mooie lobby,eigenlijk niets,True
N/A,08-2023,Luxembourg,Deluxe King Room,Couple,2,08-2023,8.0,Son style moderne,N/A,True
N/A,08-2023,Netherlands,Standard Queen Room,Couple,1,08-2023,7.0,"leuke locatie in de stad, benedenverdieping was heel mooi en hip ingericht","de kamer was niet klaar op de aangegeven tijd. op zich wel vriendelijk geholpen. Ook in het restaurant ging het niet helemaal soepel, we moesten vooral lang wachten en het eten was vrij matig.",True
